local_time,quote_time,code,name,price,pct,open,high,low,prev_close,amount,trigger_price,invalid_price
2026-05-26T09:55:04,2026-05-26 09:55:01,600530,交大昂立,7.01,-4.104,7.37,7.38,6.98,7.31,60572765.0,7.31,6.85
2026-05-26T09:55:04,2026-05-26 09:55:00,300243,瑞丰高材,20.03,-3.6092,20.72,20.9,19.7,20.78,251598993.36,20.78,17.68
2026-05-26T09:55:04,2026-05-26 09:55:03,600601,方正科技,12.8,-1.6141,12.95,13.24,12.71,13.01,1049730063.0,13.01,11.9
2026-05-26T09:55:04,2026-05-26 09:55:01,603459,红板科技,101.97,-5.8449,104.0,104.0,100.0,108.3,921146920.0,108.3,97.5
2026-05-26T10:00:05,2026-05-26 10:00:04,600530,交大昂立,7.04,-3.6936,7.37,7.38,6.98,7.31,64691101.0,7.31,6.85
2026-05-26T10:00:05,2026-05-26 10:00:03,300243,瑞丰高材,20.02,-3.6574,20.72,20.9,19.7,20.78,267836038.36,20.78,17.68
2026-05-26T10:00:05,2026-05-26 10:00:03,600601,方正科技,13.04,0.2306,12.95,13.24,12.71,13.01,1183475768.0,13.01,11.9
2026-05-26T10:00:05,2026-05-26 10:00:04,603459,红板科技,102.51,-5.3463,104.0,104.0,100.0,108.3,971226623.0,108.3,97.5
2026-05-26T10:05:07,2026-05-26 10:05:04,600530,交大昂立,7.06,-3.42,7.37,7.38,6.98,7.31,69534579.0,7.31,6.85
2026-05-26T10:05:07,2026-05-26 10:05:03,300243,瑞丰高材,20.26,-2.5024,20.72,20.9,19.7,20.78,285216513.84,20.78,17.68
2026-05-26T10:05:07,2026-05-26 10:05:03,600601,方正科技,13.02,0.0769,12.95,13.24,12.71,13.01,1322431050.0,13.01,11.9
2026-05-26T10:05:07,2026-05-26 10:05:04,603459,红板科技,103.9,-4.0628,104.0,104.58,100.0,108.3,1049490806.0,108.3,97.5
2026-05-26T10:10:08,2026-05-26 10:10:04,600530,交大昂立,7.09,-3.0096,7.37,7.38,6.98,7.31,73649716.0,7.31,6.85
2026-05-26T10:10:08,2026-05-26 10:10:06,300243,瑞丰高材,20.46,-1.5399,20.72,20.9,19.7,20.78,299986411.64,20.78,17.68
2026-05-26T10:10:08,2026-05-26 10:10:06,600601,方正科技,13.03,0.1537,12.95,13.24,12.71,13.01,1392206538.0,13.01,11.9
2026-05-26T10:10:08,2026-05-26 10:10:07,603459,红板科技,103.2,-4.7091,104.0,104.58,100.0,108.3,1103003493.0,108.3,97.5
2026-05-26T10:15:09,2026-05-26 10:15:07,600530,交大昂立,7.12,-2.5992,7.37,7.38,6.98,7.31,78345613.0,7.31,6.85
2026-05-26T10:15:09,2026-05-26 10:15:06,300243,瑞丰高材,20.34,-2.1174,20.72,20.9,19.7,20.78,316192450.64,20.78,17.68
2026-05-26T10:15:09,2026-05-26 10:15:06,600601,方正科技,12.9,-0.8455,12.95,13.24,12.71,13.01,1471918179.0,13.01,11.9
2026-05-26T10:15:09,2026-05-26 10:15:07,603459,红板科技,102.78,-5.097,104.0,104.58,100.0,108.3,1136769845.0,108.3,97.5
2026-05-26T10:20:11,2026-05-26 10:20:07,600530,交大昂立,7.18,-1.7784,7.37,7.38,6.98,7.31,86056247.0,7.31,6.85
2026-05-26T10:20:11,2026-05-26 10:20:09,300243,瑞丰高材,20.77,-0.0481,20.72,20.9,19.7,20.78,333967015.64,20.78,17.68
2026-05-26T10:20:11,2026-05-26 10:20:09,600601,方正科技,12.98,-0.2306,12.95,13.24,12.71,13.01,1538580446.0,13.01,11.9
2026-05-26T10:20:11,2026-05-26 10:20:10,603459,红板科技,105.43,-2.65,104.0,106.19,100.0,108.3,1216012421.0,108.3,97.5
2026-05-26T10:25:12,2026-05-26 10:25:10,600530,交大昂立,7.13,-2.4624,7.37,7.38,6.98,7.31,89546988.0,7.31,6.85
2026-05-26T10:25:12,2026-05-26 10:25:09,300243,瑞丰高材,20.76,-0.0962,20.72,20.9,19.7,20.78,345394119.64,20.78,17.68
2026-05-26T10:25:12,2026-05-26 10:25:09,600601,方正科技,13.09,0.6149,12.95,13.24,12.71,13.01,1610887093.0,13.01,11.9
2026-05-26T10:25:12,2026-05-26 10:25:10,603459,红板科技,105.49,-2.5946,104.0,107.55,100.0,108.3,1296372407.0,108.3,97.5
2026-05-26T10:30:14,2026-05-26 10:30:10,600530,交大昂立,7.12,-2.5992,7.37,7.38,6.98,7.31,91199587.0,7.31,6.85
2026-05-26T10:30:14,2026-05-26 10:30:12,300243,瑞丰高材,20.77,-0.0481,20.72,20.95,19.7,20.78,361749671.64,20.78,17.68
2026-05-26T10:30:14,2026-05-26 10:30:12,600601,方正科技,13.21,1.5373,12.95,13.25,12.71,13.01,1766707627.0,13.01,11.9
2026-05-26T10:30:14,2026-05-26 10:30:10,603459,红板科技,106.7,-1.4774,104.0,107.55,100.0,108.3,1341795077.0,108.3,97.5
2026-05-26T10:35:15,2026-05-26 10:35:13,600530,交大昂立,7.12,-2.5992,7.37,7.38,6.98,7.31,93900903.0,7.31,6.85
2026-05-26T10:35:15,2026-05-26 10:35:12,300243,瑞丰高材,20.65,-0.6256,20.72,20.95,19.7,20.78,373301702.64,20.78,17.68
2026-05-26T10:35:15,2026-05-26 10:35:12,600601,方正科技,13.25,1.8447,12.95,13.29,12.71,13.01,1902891752.0,13.01,11.9
2026-05-26T10:35:15,2026-05-26 10:35:13,603459,红板科技,106.5,-1.662,104.0,107.55,100.0,108.3,1382783816.0,108.3,97.5
2026-05-26T10:40:16,2026-05-26 10:40:13,600530,交大昂立,7.1,-2.8728,7.37,7.38,6.98,7.31,97376329.0,7.31,6.85
2026-05-26T10:40:16,2026-05-26 10:40:15,300243,瑞丰高材,20.47,-1.4918,20.72,20.95,19.7,20.78,386771792.44,20.78,17.68
2026-05-26T10:40:16,2026-05-26 10:40:12,600601,方正科技,13.16,1.153,12.95,13.29,12.71,13.01,1986699212.0,13.01,11.9
2026-05-26T10:40:16,2026-05-26 10:40:13,603459,红板科技,105.57,-2.5208,104.0,107.55,100.0,108.3,1411706050.0,108.3,97.5
2026-05-26T10:45:17,2026-05-26 10:45:16,600530,交大昂立,7.09,-3.0096,7.37,7.38,6.98,7.31,99779075.0,7.31,6.85
